Iteration,Best Fitness,AVG Fitness,Worst Fitness,Prey Conflicts,Prey Total Color,Worst Conflicts,Worst Total Color
482,168.500000,145.649000,121.700000,19,5,71,5
483,168.500000,145.965000,130.700000,19,5,61,5
484,168.500000,144.443000,126.200000,19,5,66,5
485,168.500000,145.632000,112.700000,19,5,81,5
486,168.500000,145.829000,128.900000,19,5,63,5
487,168.500000,147.216000,130.700000,19,5,61,5
488,168.500000,145.605000,129.800000,19,5,62,5
489,168.500000,144.497000,127.100000,19,5,65,5
490,168.500000,146.342000,130.700000,19,5,61,5
491,168.500000,145.802000,128.000000,19,5,64,5
492,168.500000,145.856000,130.700000,19,5,61,5
493,168.500000,145.577000,134.300000,19,5,57,5
494,168.500000,147.297000,131.600000,19,5,60,5
495,168.500000,146.036000,131.600000,19,5,60,5
496,168.500000,144.524000,125.300000,19,5,67,5
497,168.500000,146.171000,129.800000,19,5,62,5
498,168.500000,146.234000,128.000000,19,5,64,5
499,168.500000,145.487000,128.000000,19,5,64,5
500,168.500000,145.811000,126.200000,19,5,66,5
501,168.500000,144.227000,125.300000,19,5,67,5
502,168.500000,146.334000,130.700000,19,5,61,5
503,168.500000,145.820000,132.500000,19,5,59,5
504,168.500000,145.614000,127.100000,19,5,65,5
505,168.500000,144.713000,128.900000,19,5,63,5
506,168.500000,145.901000,128.900000,19,5,63,5
507,168.500000,145.686000,128.000000,19,5,64,5
508,168.500000,146.387000,126.200000,19,5,66,5
509,168.500000,146.037000,130.800000,19,5,61,4
510,168.500000,145.523000,128.900000,19,5,63,5
511,168.500000,145.811000,124.400000,19,5,68,5
512,168.500000,146.621000,124.400000,19,5,68,5
513,168.500000,146.261000,126.200000,19,5,66,5
514,168.500000,146.468000,127.100000,19,5,65,5
515,168.500000,145.946000,122.600000,19,5,70,5
516,168.500000,146.344000,127.100000,19,5,65,5
517,168.500000,145.703000,131.600000,19,5,60,5
518,168.500000,146.387000,130.700000,19,5,61,5
519,168.500000,146.252000,126.200000,19,5,66,5
520,168.500000,144.336000,127.100000,19,5,65,5
